Timestamp,ID,1. I prefer to work in group instead of by myself ​,2. I spend a lot of time talking to others ,3. I like to study with groups rather than by myself​,4. I try to work alone ​,5. I prefer to work on my own and let others do theirs
11/12/2021 16:36:21,8469,3,6,2,5,3
11/15/2021 15:06:20,7264,1,,1,6,6
11/17/2021 13:38:04,3572,5,4,3,4,4
11/18/2021 12:15:48,0365,6,6,4,3,3
11/30/2021 11:33:24,6642,5,5,3,5,3
12/3/2021 17:28:48,5741,2,5,3,6,6
12/10/2021 12:32:44,7842,5,5,2,6,5
12/15/2021 11:16:55,4176,2,5,3,3,6
12/22/2021 16:53:24,9472,5,5,4,4,3
1/18/2022 12:54:26,4623,2,2,2,5,6
1/19/2022 11:33:27,9502,5,3,1,7,6
1/20/2022 16:58:51,7093,3,6,3,5,5
2/28/2022 10:35:05,2258,5,7,4,6,1
3/16/2022 14:21:12,1754,2,1,2,5,4
3/21/2022 12:42:12,5238,6,6,6,4,5
3/23/2022 15:42:37,8695,5,7,5,4,5
4/20/2022 20:46:47,3976,2,4,2,6,6
4/21/2022 12:37:20,5531,5,6,5,2,2
5/4/2022 15:07:34,7412,4,5,2,5,5
5/6/2022 9:59:18,4796,7,4,6,2,2
5/13/2022 15:03:35,3246,3,3,1,3,5
5/18/2022 10:09:38,9601,3,4,3,5,5
5/30/2022 11:41:52,0479,6,7,7,1,1
6/1/2022 14:52:12,8007,3,3,3,5,6
6/3/2022 9:33:00,8673,3,7,5,4,5
6/16/2022 9:55:07,9586,2,2,2,7,6
6/16/2022 13:40:53,2693,5,5,2,5,4
6/20/2022 11:20:41,3310,4,7,5,4,3