Zeitstempel,Please select your prefered languague,ID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Alter ,
29.10.2021 16:40:20,English,365,7,7,6,6,5,2,7,5,6,6,6,6,6,6,6,7,3,3,5,37,weiblich
01.11.2021 14:55:03,German,3572,6,4,2,5,6,1,3,5,2,6,4,7,6,6,5,4,1,5,3,23,männlich
01.11.2021 15:40:16,German,7264,6,6,4,4,7,1,5,4,3,4,7,5,3,5,4,5,1,5,5,23,männlich
02.11.2021 10:11:51,German,8469,5,2,2,2,6,1,4,5,2,4,4,5,5,4,3,3,1,3,3,29,weiblich
12.11.2021 11:13:08,German,,4,3,3,2,2,2,3,3,3,3,6,3,3,2,2,3,3,2,4,,
17.11.2021 11:12:24,German,6642,5,6,5,3,6,3,5,6,5,6,3,5,3,5,5,3,5,5,6,19,weiblich
23.11.2021 10:20:07,German,5741,5,4,3,3,2,2,3,2,4,3,2,3,4,3,6,5,3,4,2,19,weiblich
23.11.2021 13:15:11,German,4176,6,3,3,6,5,5,3,6,2,5,6,6,4,6,6,5,3,5,3,23,männlich
26.11.2021 12:15:24,German,7842,6,2,2,4,3,2,3,4,4,3,3,3,5,3,5,3,2,5,3,23,weiblich
09.12.2021 14:36:36,English,,6,4,5,5,4,5,5,5,3,5,3,5,4,5,6,6,6,5,5,,
09.12.2021 16:08:53,German,9472,6,5,4,6,6,4,4,6,4,6,5,7,5,6,6,6,5,4,4,21,weiblich
10.01.2022 10:17:03,German,9502,6,7,7,7,4,3,7,5,7,4,7,5,6,6,6,6,3,4,7,20,männlich
11.01.2022 13:13:28,German,7093,3,5,6,4,3,2,5,5,2,4,6,4,5,4,5,5,1,5,6,19,männlich
11.01.2022 15:46:14,English,4623,2,2,3,1,6,1,1,1,4,1,2,4,2,2,1,1,3,1,1,32,Male
18.02.2022 15:50:35,German,2258,6,6,7,5,6,4,7,5,6,5,7,5,6,6,5,6,5,5,6,23,männlich
02.03.2022 16:15:54,German,5238,3,6,6,3,4,3,7,4,6,4,7,2,3,3,4,4,2,3,4,24,männlich
08.03.2022 12:22:40,German,1754,3,2,1,4,5,1,1,5,1,4,3,6,5,2,2,2,1,2,2,23,männlich
11.03.2022 11:56:22,German,8695,,6,2,6,6,4,5,7,3,5,4,7,6,5,7,6,3,3,3,29,weiblich
14.04.2022 08:05:01,German,5531,2,3,2,3,3,1,2,3,2,2,4,3,2,2,3,2,1,2,2,21,weiblich
18.04.2022 11:44:12,German,3976,4,5,2,3,6,2,3,2,1,3,5,3,6,3,6,6,1,3,2,21,männlich
20.04.2022 13:06:39,German,7412,6,5,5,6,4,4,5,6,2,5,5,5,5,6,5,6,5,3,4,20,weiblich
29.04.2022 11:14:15,German,4796,4,5,5,2,2,1,2,3,3,2,5,4,3,2,3,6,1,4,3,20,weiblich
04.05.2022 11:07:04,German,3246,2,2,3,5,5,4,3,3,2,2,3,5,4,4,5,5,2,3,2,23,männlich
13.05.2022 12:37:34,German,9601,4,2,2,3,5,2,3,4,5,4,3,5,5,4,3,2,2,6,3,25,männlich
18.05.2022 14:16:39,English,8007,6,5,3,2,1,1,5,3,2,3,5,2,2,3,4,6,1,5,3,22,männlich
19.05.2022 15:14:23,German,0479,3,2,1,4,6,2,1,6,1,5,1,5,5,5,6,2,2,5,1,24,weiblich
23.05.2022 10:17:17,German,8673,6,3,6,4,2,3,3,2,2,2,2,3,6,3,6,6,2,6,2,22,weiblich
01.06.2022 15:02:58,German,2361,6,2,4,5,2,2,1,4,1,5,5,3,3,6,5,4,1,4,2,25,männlich
02.06.2022 09:11:16,German,3310,6,3,3,5,6,4,2,7,2,6,2,7,7,6,4,2,1,6,4,46,weiblich
07.06.2022 14:01:26,German,9586,6,6,6,6,6,1,5,6,5,6,6,6,4,6,6,6,1,4,6,22,männlich
08.06.2022 13:29:47,German,2693,3,4,2,1,3,1,5,2,2,1,5,3,5,2,3,4,1,1,3,45,weiblich
29.06.2022 14:20:46,German,4917,5,6,6,5,5,2,6,5,3,4,5,4,6,5,5,4,2,5,5,21,männlich